filename,component_id,hausdorff_distance_95th,overlap_percentage,component_size,overall_hausdorff_distance_95th,average_symmetric_surface_distance,overall_average_symmetric_surface_distance,dice_score,overall_dice_score
colon_0067-supine.mha,1,273.82110595703125,91.25177809388336,53428,2.8284270763397217,183.608154296875,1.1479620933532715,0.16459490358829498,0.8938325047492981
colon_0067-supine.mha,2,214.5600128173828,79.53620556284264,59466,2.8284270763397217,116.75518035888672,1.1479620933532715,0.15806500613689423,0.8938325047492981
colon_0067-supine.mha,3,259.73309326171875,0.0,316,2.8284270763397217,172.2305145263672,1.1479620933532715,0.0,0.8938325047492981
colon_0067-supine.mha,4,252.7469024658203,89.21325051759834,4830,2.8284270763397217,176.79400634765625,1.1479620933532715,0.015847330912947655,0.8938325047492981
colon_0067-supine.mha,5,250.73890686035156,0.0,1,2.8284270763397217,181.54428100585938,1.1479620933532715,0.0,0.8938325047492981
colon_0067-supine.mha,6,124.39051055908203,81.6449722921704,478926,2.8284270763397217,14.201350212097168,1.1479620933532715,0.7682781219482422,0.8938325047492981
colon_0067-supine.mha,7,227.6776123046875,0.0,4,2.8284270763397217,117.92440795898438,1.1479620933532715,0.0,0.8938325047492981
colon_0067-supine.mha,8,250.20191955566406,81.36479783556291,33265,2.8284270763397217,159.98291015625,1.1479620933532715,0.09459518641233444,0.8938325047492981
colon_0067-supine.mha,9,280.790283203125,83.9622641509434,318,2.8284270763397217,130.60128784179688,1.1479620933532715,0.0009901687735691667,0.8938325047492981
colon_0067-supine.mha,10,292.41937255859375,81.32959093507979,19239,2.8284270763397217,165.98748779296875,1.1479620933532715,0.05606003478169441,0.8938325047492981
colon_0067-supine.mha,11,298.92352294921875,0.0,779,2.8284270763397217,211.04237365722656,1.1479620933532715,0.0,0.8938325047492981
colon_0067-supine.mha,12,302.7525329589844,0.0,5961,2.8284270763397217,193.99046325683594,1.1479620933532715,0.0,0.8938325047492981
colon_0067-supine.mha,13,320.55322265625,0.0,7,2.8284270763397217,195.6319580078125,1.1479620933532715,0.0,0.8938325047492981
colon_0067-supine.mha,14,323.9029235839844,0.0,6,2.8284270763397217,204.86126708984375,1.1479620933532715,0.0,0.8938325047492981
colon_0067-supine.mha,15,319.8766784667969,0.0,128,2.8284270763397217,215.09005737304688,1.1479620933532715,0.0,0.8938325047492981
colon_0126-supine.mha,1,193.44598388671875,99.68558785543394,188924,1.0,72.51527404785156,0.4036339223384857,0.478790283203125,0.9626694917678833
colon_0126-supine.mha,2,145.8847198486328,99.84276229545847,283011,1.0,37.17445373535156,0.4036339223384857,0.6416282057762146,0.9626694917678833
colon_0126-supine.mha,3,202.7042236328125,99.08474211263056,9287,1.0,137.1881561279297,0.4036339223384857,0.030316907912492752,0.9626694917678833
colon_0126-supine.mha,4,209.3546142578125,0.0,1,1.0,152.57626342773438,0.4036339223384857,0.0,0.9626694917678833
colon_0126-supine.mha,5,233.8076171875,100.0,5,1.0,169.31063842773438,0.4036339223384857,1.6728785340092145e-05,0.9626694917678833
colon_0126-supine.mha,6,238.64431762695312,99.84981028667791,75904,1.0,122.07457733154297,0.4036339223384857,0.22500596940517426,0.9626694917678833
colon_0475-supine.mha,1,1.0,95.42858513316375,1209188,1.0,0.4389738142490387,0.4424838721752167,0.9756137132644653,0.9755147099494934
colon_0475-supine.mha,2,273.2642517089844,0.0,122,1.0,175.9654083251953,0.4424838721752167,0.0,0.9755147099494934
colon_0475-supine.mha,3,254.32330322265625,0.0,59,1.0,164.14271545410156,0.4424838721752167,0.0,0.9755147099494934
colon_0475-supine.mha,4,243.97950744628906,0.0,2,1.0,158.37152099609375,0.4424838721752167,0.0,0.9755147099494934
colon_0475-supine.mha,5,243.2063751220703,0.0,1,1.0,157.58868408203125,0.4424838721752167,0.0,0.9755147099494934
colon_0475-supine.mha,6,237.5310516357422,0.0,4,1.0,154.5301971435547,0.4424838721752167,0.0,0.9755147099494934
colon_0475-supine.mha,7,227.51119995117188,0.0,7,1.0,151.0347900390625,0.4424838721752167,0.0,0.9755147099494934
colon_0475-supine.mha,8,242.3839874267578,0.0,1,1.0,163.06146240234375,0.4424838721752167,0.0,0.9755147099494934
colon_0475-supine.mha,9,231.41810607910156,0.0,4,1.0,154.49623107910156,0.4424838721752167,0.0,0.9755147099494934
colon_0475-supine.mha,10,230.7278594970703,0.0,11,1.0,157.17523193359375,0.4424838721752167,0.0,0.9755147099494934
colon_0475-supine.mha,11,217.95870971679688,0.0,29,1.0,149.6868438720703,0.4424838721752167,0.0,0.9755147099494934
colon_0204-supine.mha,1,241.26705932617188,98.06922717114495,38482,1.0,125.07110595703125,0.4652996361255646,0.12175069004297256,0.9680938720703125
colon_0204-supine.mha,2,184.9156494140625,98.87364711804682,174812,1.0,55.54697036743164,0.4652996361255646,0.4570939838886261,0.9680938720703125
colon_0204-supine.mha,3,120.36442565917969,97.37529605971434,139330,1.0,37.67389678955078,0.4652996361255646,0.37645795941352844,0.9680938720703125
colon_0204-supine.mha,4,239.88327026367188,100.0,13,1.0,135.75038146972656,0.4652996361255646,4.4714259274769574e-05,0.9680938720703125
colon_0204-supine.mha,5,224.89328002929688,0.0,1,1.0,116.29515838623047,0.4652996361255646,0.0,0.9680938720703125
colon_0204-supine.mha,6,202.12767028808594,0.0,56,1.0,117.22449493408203,0.4652996361255646,0.0,0.9680938720703125
colon_0204-supine.mha,7,201.64572143554688,0.0,158,1.0,118.76038360595703,0.4652996361255646,0.0,0.9680938720703125
