filename,component_id,hausdorff_distance_95th,overlap_percentage,component_size,overall_hausdorff_distance_95th,average_symmetric_surface_distance,overall_average_symmetric_surface_distance,dice_score,overall_dice_score
colon_0067-supine.mha,1,273.6627197265625,90.60119644781332,53826,3.0,183.2492218017578,1.3555337190628052,0.1645282655954361,0.8738372921943665
colon_0067-supine.mha,2,214.2292938232422,77.49656436097115,61124,3.0,115.70043182373047,1.3555337190628052,0.15786825120449066,0.8738372921943665
colon_0067-supine.mha,3,252.7053680419922,85.18955018660381,5091,3.0,176.54461669921875,1.3555337190628052,0.015942655503749847,0.8738372921943665
colon_0067-supine.mha,4,123.66891479492188,77.83279432139159,503081,3.0,13.684048652648926,1.3555337190628052,0.7515116333961487,0.8738372921943665
colon_0067-supine.mha,5,250.0921630859375,80.62376770030471,33474,3.0,159.3749542236328,1.3555337190628052,0.09428814053535461,0.8738372921943665
colon_0067-supine.mha,6,277.33734130859375,0.0,8,3.0,143.1840362548828,1.3555337190628052,0.0,0.8738372921943665
colon_0067-supine.mha,7,291.465576171875,57.62393036293892,27112,3.0,162.0161590576172,1.3555337190628052,0.055195584893226624,0.8738372921943665
colon_0067-supine.mha,8,297.27764892578125,0.0,2,3.0,213.73753356933594,1.3555337190628052,0.0,0.8738372921943665
colon_0067-supine.mha,9,297.5550231933594,0.0,2,3.0,212.34779357910156,1.3555337190628052,0.0,0.8738372921943665
colon_0067-supine.mha,10,297.3050231933594,0.0,948,3.0,210.00689697265625,1.3555337190628052,0.0,0.8738372921943665
colon_0067-supine.mha,11,305.7398376464844,0.0,2,3.0,208.83934020996094,1.3555337190628052,0.0,0.8738372921943665
colon_0067-supine.mha,12,317.2601318359375,0.0,12,3.0,226.35133361816406,1.3555337190628052,0.0,0.8738372921943665
colon_0067-supine.mha,13,318.3852844238281,0.0,1,3.0,202.53472900390625,1.3555337190628052,0.0,0.8738372921943665
colon_0067-supine.mha,14,319.94061279296875,0.0,1,3.0,225.57618713378906,1.3555337190628052,0.0,0.8738372921943665
colon_0067-supine.mha,15,323.3360290527344,0.0,2,3.0,206.2318115234375,1.3555337190628052,0.0,0.8738372921943665
colon_0067-supine.mha,16,326.3894958496094,0.0,1,3.0,209.90052795410156,1.3555337190628052,0.0,0.8738372921943665
colon_0067-supine.mha,17,323.2021789550781,0.0,1,3.0,217.13819885253906,1.3555337190628052,0.0,0.8738372921943665
colon_0067-supine.mha,18,324.19915771484375,0.0,2,3.0,203.61949157714844,1.3555337190628052,0.0,0.8738372921943665
colon_0126-supine.mha,1,193.284912109375,99.63808057907107,192308,1.0,71.539794921875,0.29568079113960266,0.4850476086139679,0.9729346632957458
colon_0126-supine.mha,2,145.75665283203125,99.95817635062735,289310,1.0,36.475868225097656,0.29568079113960266,0.6520043015480042,0.9729346632957458
colon_0126-supine.mha,3,202.644287109375,99.93490289682109,9217,1.0,136.80931091308594,0.29568079113960266,0.030350059270858765,0.9729346632957458
colon_0126-supine.mha,4,224.931884765625,0.0,3,1.0,130.1317138671875,0.29568079113960266,0.0,0.9729346632957458
colon_0126-supine.mha,5,238.09661865234375,99.9597888264823,77093,1.0,121.26367950439453,0.29568079113960266,0.22837921977043152,0.9729346632957458
colon_0204-supine.mha,1,232.6396026611328,97.74405665149216,39540,1.0,118.88844299316406,0.34252631664276123,0.12447080761194229,0.9817540049552917
colon_0204-supine.mha,2,184.78366088867188,98.9010618384589,177899,1.0,55.04767990112305,0.34252631664276123,0.46340319514274597,0.9817540049552917
colon_0204-supine.mha,3,120.00833129882812,96.4212813362764,144521,1.0,37.07988357543945,0.34252631664276123,0.3838931620121002,0.9817540049552917
colon_0204-supine.mha,4,201.13575744628906,0.0,759,1.0,117.78933715820312,0.34252631664276123,0.0,0.9817540049552917
colon_0204-supine.mha,5,199.5309295654297,0.0,163,1.0,119.67826080322266,0.34252631664276123,0.0,0.9817540049552917
colon_0204-supine.mha,6,140.34600830078125,98.62213918729566,102768,1.0,56.58462142944336,0.34252631664276123,0.29625341296195984,0.9817540049552917
colon_0204-supine.mha,7,140.53041076660156,98.42612066118576,115066,1.0,56.32686233520508,0.34252631664276123,0.32520103454589844,0.9817540049552917
colon_0204-supine.mha,8,155.4875946044922,95.1086956521739,184,1.0,95.07254791259766,0.34252631664276123,0.0006017457344569266,0.9817540049552917
colon_0204-supine.mha,9,195.62359619140625,0.0,3,1.0,125.20967102050781,0.34252631664276123,0.0,0.9817540049552917
colon_0204-supine.mha,10,196.12698364257812,95.53838484546361,4012,1.0,124.56365203857422,0.34252631664276123,0.013093776069581509,0.9817540049552917
colon_0204-supine.mha,11,201.9554443359375,0.0,21,1.0,135.66905212402344,0.34252631664276123,0.0,0.9817540049552917
colon_0204-supine.mha,12,213.09857177734375,0.0,1,1.0,146.08189392089844,0.34252631664276123,0.0,0.9817540049552917
colon_0204-prone.mha,1,151.0430450439453,87.76174992964114,167001,1.0,57.05842971801758,0.6043127179145813,0.3434407711029053,0.947410523891449
colon_0204-prone.mha,2,51.400390625,90.80053411978962,588632,1.0,5.006779193878174,0.6043127179145813,0.8383167386054993,0.947410523891449
colon_0204-prone.mha,3,189.4967041015625,77.05242334322453,7077,1.0,102.00992584228516,0.6043127179145813,0.01572434976696968,0.947410523891449
colon_0308-prone.mha,1,223.96014404296875,92.20779897277757,383948,1.4142135381698608,73.84650421142578,0.6358022093772888,0.5174643993377686,0.9512227773666382
colon_0308-prone.mha,2,134.49534606933594,90.1258610277192,685518,1.4142135381698608,19.02939796447754,0.6358022093772888,0.7399610280990601,0.9512227773666382
colon_0308-prone.mha,3,211.3246307373047,85.80878393969694,13001,1.4142135381698608,135.30691528320312,0.6358022093772888,0.022370632737874985,0.9512227773666382
colon_0311-supine.mha,1,209.66326904296875,99.36370989485036,148360,1.0,91.91813659667969,0.42147108912467957,0.2633844316005707,0.9637184739112854
colon_0311-supine.mha,2,102.71319580078125,99.35688084491613,735789,1.0,8.4693021774292,0.42147108912467957,0.8566269278526306,0.9637184739112854
colon_0311-supine.mha,3,199.43255615234375,99.95318665150806,14953,1.0,101.75167083740234,0.42147108912467957,0.030316706746816635,0.9637184739112854
colon_0311-supine.mha,4,190.0684051513672,99.95309254171413,14923,1.0,95.3703384399414,0.42147108912467957,0.03025677427649498,0.9637184739112854
colon_0330-supine.mha,1,287.9062194824219,96.15771383973464,66627,22.89104652404785,182.49237060546875,1.7941168546676636,0.10127768665552139,0.9330400824546814
colon_0330-supine.mha,2,260.6184997558594,95.31881007906262,17581,22.89104652404785,164.99395751953125,1.7941168546676636,0.02755957655608654,0.9330400824546814
colon_0330-supine.mha,3,91.06591033935547,94.06352158348238,759238,22.89104652404785,10.896955490112305,1.7941168546676636,0.729564905166626,0.9330400824546814
colon_0330-supine.mha,4,269.8481140136719,86.69527896995707,699,22.89104652404785,181.2259979248047,1.7941168546676636,0.0010106341214850545,0.9330400824546814
