Filename,Component,Volume,Centerline Length
123_pos-prone_colon_segmentation_v2.mha,3,1043.9453124999998,38
123_pos-prone_colon_segmentation_v2.mha,4,5108.398437499999,219
123_pos-prone_colon_segmentation_v2.mha,5,3482.910156249999,94
123_pos-supine_colon_segmentation_v2.mha,1,187468.75,1540
123_pos-supine_colon_segmentation_v2.mha,2,766437.5,6836
123_pos-supine_colon_segmentation_v2.mha,3,522.94921875,6
126_pos-supine_colon_segmentation_v2.mha,1,214768.44837559224,7507
126_pos-supine_colon_segmentation_v2.mha,2,406438.4510670143,1927
126_pos-supine_colon_segmentation_v2.mha,3,11243.536653687515,91
127_pos-prone_colon_segmentation_v2.mha,1,1809382.32421875,13996
129_pos-prone_colon_segmentation_v2.mha,1,1743697.265625,18680
129_pos-supine_colon_segmentation_v2.mha,1,2017956.0546875,15800
143_pos-prone_colon_segmentation_v2.mha,1,655919.7692871095,2260
143_pos-prone_colon_segmentation_v2.mha,2,4481.597900390626,52
143_pos-prone_colon_segmentation_v2.mha,3,33029.02221679688,477
143_pos-supine_colon_segmentation_v2.mha,1,240390.17949218748,1600
143_pos-supine_colon_segmentation_v2.mha,2,545792.7222442627,2537
143_pos-supine_colon_segmentation_v2.mha,3,1092.605209350586,4
143_pos-supine_colon_segmentation_v2.mha,4,400.7339721679687,3
143_pos-supine_colon_segmentation_v2.mha,5,899.1860717773437,3
143_pos-supine_colon_segmentation_v2.mha,6,778.3831573486327,20
143_pos-supine_colon_segmentation_v2.mha,7,2509.7421813964843,36
143_pos-supine_colon_segmentation_v2.mha,8,1031.6434417724608,33
143_pos-supine_colon_segmentation_v2.mha,9,491.0560028076172,13
144_pos-prone_colon_segmentation_v2.mha,1,2477110.83984375,14557
144_pos-prone_colon_segmentation_v2.mha,2,1248.53515625,35
152_pos-prone_colon_segmentation_v2.mha,1,1521942.3828125,6753
152_pos-supine_colon_segmentation_v2.mha,1,1504462.40234375,12846
167_pos-prone_colon_segmentation_v2.mha,1,357478.193359375,1276
167_pos-prone_colon_segmentation_v2.mha,2,247912.3388671875,984
167_pos-prone_colon_segmentation_v2.mha,3,1019734.58984375,5353
167_pos-supine_colon_segmentation_v2.mha,1,1783242.2265625,12455
169_pos-supine_colon_segmentation_v2.mha,1,93497.0703125,6692
169_pos-supine_colon_segmentation_v2.mha,2,301.7578125,68
169_pos-supine_colon_segmentation_v2.mha,3,2896597.16796875,47301
172_pos-supine_colon_segmentation_v2.mha,1,1246533.6812500004,3889
174_pos-supine_colon_segmentation_v2.mha,1,1856293.4374999995,15326
179_pos-prone_colon_segmentation_v2.mha,1,1877254.736328125,11412
179_pos-supine_colon_segmentation_v2.mha,1,1967163.408203125,5728
180_pos-supine_colon_segmentation_v2.mha,1,62290.524902343706,3403
180_pos-supine_colon_segmentation_v2.mha,2,1868020.9179687488,17926
185_pos-supine_colon_segmentation_v2.mha,1,744666.2020721036,3532
