Filename,Component,Volume,Centerline Length
sub105_pos-prone_scan-1.mha,1,1581471.0,102632
sub106_pos-supine_scan-1.mha,1,846466.0,67369
sub106_pos-supine_scan-1.mha,2,221687.0,6444
sub108_pos-supine_scan-1.mha,1,1934249.0,65257
sub111_pos-supine_scan-1.mha,1,1823330.0,7475
sub111_pos-prone_scan-1.mha,1,1600100.0,6712
sub112_pos-supine_scan-1.mha,1,1891369.0,43498
sub113_pos-prone_scan-1.mha,1,3141984.0,20262
sub113_pos-supine_scan-1.mha,1,2334435.0,25790
sub115_pos-supine_scan-1.mha,1,1066565.0,31104
sub120_pos-prone_scan-1.mha,1,1121408.0,12760
sub125_pos-prone_scan-1.mha,1,1717569.0,57953
sub125_pos-supine_scan-1.mha,1,1917652.0,48471
sub126_pos-prone_scan-1.mha,1,563896.0,8453
sub126_pos-prone_scan-1.mha,2,91034.0,779
sub128_pos-prone_scan-1.mha,1,2733.0,85
sub128_pos-prone_scan-1.mha,2,1741655.0,19417
sub134_pos-supine_scan-1.mha,1,2906180.0,13478
sub134_pos-prone_scan-1.mha,1,2897837.0,9988
sub136_pos-prone_scan-1.mha,1,581215.0,5077
sub136_pos-prone_scan-1.mha,2,434943.0,2151
sub136_pos-prone_scan-1.mha,3,727.0,33
sub137_pos-supine_scan-1.mha,1,1292193.0,6171
sub139_pos-prone_scan-1.mha,1,2027906.0,163594
sub139_pos-supine_scan-1.mha,1,2282920.0,110450
sub140_pos-prone_scan-1.mha,1,1578961.0,43863
sub141_pos-prone_scan-1.mha,1,1061643.0,17072
sub141_pos-supine_scan-1.mha,1,1255289.0,5639
sub142_pos-prone_scan-1.mha,1,1863835.0,6643
sub142_pos-supine_scan-1.mha,1,1867465.0,8219
sub142_pos-supine_scan-1.mha,2,105.0,6
sub144_pos-supine_scan-1.mha,1,2594309.0,38268
sub145_pos-supine_scan-1.mha,1,328047.0,3409
sub145_pos-supine_scan-1.mha,2,1007215.0,8623
sub145_pos-prone_scan-1.mha,1,1418754.0,12332
sub146_pos-prone_scan-1.mha,1,1636661.0,48194
sub146_pos-prone_scan-1.mha,2,190.0,8
sub147_pos-prone_scan-1.mha,1,1880098.0,13747
sub147_pos-supine_scan-1.mha,1,1748299.0,14844
sub149_pos-prone_scan-1.mha,1,435708.0,14480
sub149_pos-prone_scan-1.mha,2,1557792.0,6944
sub155_pos-supine_scan-2.mha,1,1747848.0,56700
sub158_pos-supine_scan-2.mha,1,1878573.0,35469
sub158_pos-prone_scan-1.mha,1,1665166.0,28692
sub161_pos-supine_scan-1.mha,1,2515550.0,69636
sub161_pos-supine_scan-2.mha,1,1676959.0,70549
sub161_pos-supine_scan-2.mha,2,1456356.0,17872
sub162_pos-supine_scan-1.mha,1,2289344.0,3507
sub162_pos-prone_scan-1.mha,1,2228675.0,3943
sub165_pos-supine_scan-1.mha,1,1838006.0,4018
sub165_pos-prone_scan-1.mha,1,1739500.0,4762
sub173_pos-supine_scan-1.mha,1,1585919.0,17592
sub177_pos-supine_scan-1.mha,1,1975681.0,4312
sub177_pos-prone_scan-1.mha,1,1863678.0,2812
sub182_pos-prone_scan-2.mha,1,1490404.0,3059
sub182_pos-prone_scan-1.mha,1,383758.0,1267
sub182_pos-prone_scan-1.mha,2,1106392.0,1826
